                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.822,                 2.5414,                  1.134,                0.45584,                0.14214,                0.10487,                0.05673,                 1.6918,                  1.626,                 1.0862,              0.0033251,              0.0033251,              0.0033251
                      2,                 1.7332,                 1.6976,                 1.0655,                0.32696,                  0.174,                0.12703,                0.07021,                 1.6606,                 1.5402,                 1.0718,              0.0066255,              0.0066255,              0.0066255
                      3,                 1.7412,                 1.6157,                 1.0613,                0.38422,                0.18436,                0.14751,                0.08066,                 1.7244,                 1.5178,                 1.0864,              0.0098928,              0.0098928,              0.0098928
                      4,                 1.7304,                 1.5649,                 1.0552,                   0.41,                0.21586,                0.17198,                0.09628,                 1.5994,                 1.4591,                 1.0521,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.6992,                 1.5071,                 1.0445,                0.32462,                0.21779,                  0.188,                 0.1048,                 1.5936,                 1.3449,                 1.0452,               0.009802,               0.009802,               0.009802
                      6,                 1.6609,                  1.454,                 1.0336,                0.35108,                0.22836,                0.19985,                0.11188,                 1.5826,                 1.3192,                  1.042,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.6275,                 1.4004,                 1.0232,                0.22891,                0.21301,                0.18466,                 0.1013,                  1.664,                 1.3854,                 1.0534,               0.009703,               0.009703,               0.009703
                      8,                 1.6189,                 1.3788,                 1.0221,                0.43184,                0.22003,                0.19923,                0.11258,                 1.5696,                 1.3076,                 1.0372,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.5929,                 1.3424,                 1.0152,                0.37475,                0.23328,                0.21467,                0.12228,                 1.5276,                 1.2723,                 1.0215,               0.009604,               0.009604,               0.009604
                     10,                 1.5921,                 1.3195,                  1.011,                0.37101,                 0.2212,                0.21229,                0.12236,                 1.5304,                 1.2623,                 1.0207,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.5712,                 1.2932,                 1.0053,                0.48435,                 0.2491,                0.23821,                0.13144,                 1.5144,                 1.2207,                 1.0263,               0.009505,               0.009505,               0.009505
                     12,                 1.5732,                 1.2889,                 1.0053,                0.39162,                0.24178,                0.22906,                0.13132,                  1.529,                 1.2368,                 1.0186,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.5597,                 1.2661,                 1.0022,                0.43366,                0.24426,                0.23565,                0.13657,                 1.5085,                 1.2299,                 1.0214,               0.009406,               0.009406,               0.009406
                     14,                 1.5521,                 1.2598,                 1.0011,                0.29121,                0.26994,                0.23785,                0.13439,                 1.4933,                 1.2414,                 1.0166,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.5384,                 1.2368,                0.99701,                0.32842,                0.27429,                0.24862,                0.14236,                 1.4839,                 1.1833,                 1.0088,               0.009307,               0.009307,               0.009307
                     16,                  1.524,                 1.2245,                0.99445,                0.39438,                0.24871,                 0.2319,                0.13425,                  1.486,                 1.1932,                 1.0074,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.5323,                 1.2264,                0.99582,                0.41556,                0.26825,                0.25459,                0.14547,                 1.4662,                 1.1624,                 1.0055,               0.009208,               0.009208,               0.009208
                     18,                 1.5242,                 1.2114,                0.99213,                0.36619,                0.27287,                0.25538,                0.14695,                  1.462,                 1.1502,                 1.0061,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.5096,                  1.197,                0.98878,                0.35269,                0.25846,                0.25477,                0.14709,                 1.4699,                 1.1497,                 1.0034,               0.009109,               0.009109,               0.009109
                     20,                 1.5173,                 1.2032,                 0.9896,                0.35055,                0.28058,                0.25956,                0.14988,                 1.4618,                 1.1511,                 1.0016,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.5067,                 1.1878,                0.98703,                0.41403,                0.28584,                0.26708,                0.15262,                 1.4479,                 1.1394,                 1.0018,                0.00901,                0.00901,                0.00901
                     22,                 1.5077,                 1.1831,                0.98528,                0.35667,                0.27908,                0.26225,                0.14963,                 1.4577,                 1.1374,                 1.0073,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.4986,                 1.1732,                 0.9853,                0.42904,                0.27221,                0.26182,                0.15203,                 1.4418,                  1.136,                0.99769,               0.008911,               0.008911,               0.008911
                     24,                 1.4861,                 1.1623,                0.97944,                0.39586,                0.27412,                0.26911,                0.15541,                  1.445,                 1.1226,                0.99414,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.4983,                 1.1743,                0.98443,                0.42001,                0.28447,                0.27081,                0.15462,                 1.4481,                 1.1231,                  1.001,               0.008812,               0.008812,               0.008812
                     26,                 1.4836,                 1.1556,                0.97996,                0.38214,                0.28064,                0.27204,                0.15725,                 1.4429,                 1.1173,                0.99701,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.4888,                 1.1585,                0.98291,                0.33616,                0.27358,                0.26206,                0.15216,                 1.4314,                 1.1215,                0.99328,               0.008713,               0.008713,               0.008713
                     28,                 1.4888,                 1.1515,                0.97811,                0.43529,                 0.2727,                0.26732,                0.15535,                  1.431,                 1.1201,                0.98993,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.4835,                 1.1471,                0.97956,                0.43594,                0.28548,                0.27565,                0.15839,                  1.425,                 1.1072,                0.99143,               0.008614,               0.008614,               0.008614
                     30,                 1.4717,                 1.1392,                0.97623,                0.43692,                0.28676,                0.27489,                0.15717,                  1.435,                 1.1029,                0.99485,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.4707,                 1.1399,                0.97774,                0.36775,                0.29109,                0.27777,                0.16168,                 1.4274,                 1.1063,                 0.9937,               0.008515,               0.008515,               0.008515
                     32,                 1.4684,                 1.1278,                 0.9741,                0.45372,                0.27811,                0.27866,                0.16212,                 1.4224,                 1.0931,                0.98935,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.4646,                 1.1271,                0.97411,                0.38853,                0.29164,                0.28001,                0.16009,                 1.4203,                 1.0986,                0.99067,               0.008416,               0.008416,               0.008416
                     34,                 1.4592,                 1.1163,                0.97261,                0.37012,                0.28998,                 0.2768,                0.16081,                 1.4096,                 1.0968,                0.98921,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.4587,                 1.1202,                0.97442,                0.38397,                0.29271,                0.28348,                0.16346,                 1.4175,                 1.0882,                0.98817,               0.008317,               0.008317,               0.008317
                     36,                 1.4498,                 1.1138,                0.97074,                0.39664,                0.28979,                0.28079,                0.16393,                 1.4088,                 1.0926,                0.98966,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.4559,                 1.1132,                0.97143,                0.38771,                0.29026,                0.28511,                0.16444,                 1.4103,                 1.0848,                0.98983,               0.008218,               0.008218,               0.008218
                     38,                 1.4524,                  1.109,                  0.971,                0.41364,                0.28647,                0.28569,                0.16466,                 1.4132,                 1.0845,                0.99015,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.4453,                 1.1026,                0.96968,                0.41873,                0.29422,                0.29157,                0.16826,                 1.4061,                 1.0731,                0.98606,               0.008119,               0.008119,               0.008119
                     40,                 1.4492,                 1.1054,                 0.9693,                0.35921,                0.31362,                0.29002,                0.16913,                 1.4068,                 1.0701,                0.98744,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.4444,                 1.1008,                0.96776,                0.37263,                0.29981,                  0.287,                0.16579,                 1.4002,                 1.0796,                0.98434,                0.00802,                0.00802,                0.00802
                     42,                 1.4435,                  1.096,                0.96763,                 0.3801,                0.29351,                0.28677,                  0.168,                  1.401,                 1.0725,                0.98345,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.4397,                 1.0923,                 0.9679,                0.37356,                0.30439,                0.29122,                0.16974,                 1.3971,                 1.0639,                0.98393,               0.007921,               0.007921,               0.007921
                     44,                 1.4382,                 1.0889,                0.96658,                 0.3778,                0.29611,                0.28984,                0.16959,                 1.4022,                 1.0654,                0.98198,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.4399,                 1.0915,                0.96697,                0.37952,                0.30176,                0.29445,                0.17144,                 1.3924,                 1.0581,                0.98261,               0.007822,               0.007822,               0.007822
                     46,                 1.4357,                 1.0866,                0.96737,                0.42354,                0.29603,                0.29953,                 0.1754,                  1.386,                 1.0591,                0.98277,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.4409,                 1.0875,                0.96698,                 0.3923,                0.31002,                0.29744,                0.17407,                 1.3893,                 1.0598,                0.98106,               0.007723,               0.007723,               0.007723
                     48,                 1.4278,                  1.075,                0.96376,                 0.3955,                0.30085,                0.30039,                0.17489,                 1.3839,                 1.0515,                 0.9788,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.4331,                 1.0795,                0.96449,                0.38927,                0.30122,                0.29401,                 0.1716,                 1.3819,                  1.058,                0.97829,               0.007624,               0.007624,               0.007624
                     50,                 1.4313,                 1.0747,                0.96428,                0.36035,                0.32422,                  0.297,                0.17409,                 1.3811,                 1.0478,                0.97711,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.4382,                 1.0783,                0.96369,                0.37981,                0.31013,                0.30124,                0.17617,                 1.3828,                 1.0492,                0.97754,               0.007525,               0.007525,               0.007525
                     52,                 1.4313,                 1.0744,                0.96381,                0.39439,                0.31824,                0.30542,                 0.1781,                 1.3833,                 1.0495,                0.97884,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.4323,                 1.0707,                0.96347,                0.40166,                0.30606,                0.30696,                0.17923,                 1.3767,                 1.0393,                0.97639,               0.007426,               0.007426,               0.007426
                     54,                 1.4247,                 1.0678,                0.96226,                0.40345,                0.31094,                0.30542,                0.17806,                 1.3826,                 1.0409,                0.97798,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.4263,                 1.0688,                 0.9644,                0.38229,                0.32432,                  0.306,                0.17858,                 1.3797,                 1.0405,                0.97705,               0.007327,               0.007327,               0.007327
                     56,                 1.4271,                 1.0679,                0.96002,                0.38396,                0.32379,                0.30762,                0.17998,                 1.3784,                 1.0377,                0.97807,              0.0072775,              0.0072775,              0.0072775
                     57,                  1.421,                 1.0616,                0.96205,                0.39733,                0.31701,                0.30605,                0.17939,                 1.3796,                 1.0373,                0.97683,               0.007228,               0.007228,               0.007228
                     58,                 1.4224,                 1.0649,                0.96191,                0.40546,                0.31042,                 0.3075,                0.17912,                 1.3786,                  1.037,                0.97688,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.4149,                 1.0577,                0.95954,                0.41506,                0.31774,                0.31094,                0.18113,                 1.3693,                 1.0259,                0.97449,               0.007129,               0.007129,               0.007129
                     60,                 1.4165,                 1.0546,                0.95948,                0.39122,                0.31404,                0.30415,                0.17888,                 1.3712,                 1.0317,                0.97483,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.4183,                 1.0549,                0.96003,                0.38264,                 0.3136,                0.30307,                0.17811,                 1.3746,                 1.0355,                0.97586,                0.00703,                0.00703,                0.00703
                     62,                 1.4078,                 1.0432,                0.95591,                0.37812,                0.33096,                 0.3082,                0.18127,                 1.3644,                 1.0255,                0.97347,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.4116,                 1.0498,                 0.9587,                0.38607,                0.32454,                0.30995,                 0.1825,                 1.3628,                 1.0245,                0.97272,               0.006931,               0.006931,               0.006931
                     64,                 1.4037,                 1.0516,                 0.9572,                0.38098,                0.32631,                0.30794,                0.18068,                 1.3644,                 1.0261,                 0.9718,              0.0068815,              0.0068815,              0.0068815
                     65,                  1.414,                 1.0499,                 0.9586,                0.40036,                0.31907,                0.31111,                0.18244,                 1.3609,                 1.0196,                0.97147,               0.006832,               0.006832,               0.006832
                     66,                 1.4097,                 1.0441,                0.95567,                0.41366,                0.32082,                0.31241,                0.18427,                 1.3626,                 1.0203,                0.97102,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.4006,                  1.043,                 0.9556,                0.39222,                0.32189,                0.31381,                0.18446,                 1.3616,                 1.0163,                 0.9719,               0.006733,               0.006733,               0.006733
                     68,                 1.4086,                  1.043,                0.95585,                 0.3953,                0.32925,                0.31279,                0.18377,                 1.3659,                   1.02,                 0.9717,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.4005,                 1.0351,                0.95452,                0.41162,                0.31134,                0.31581,                0.18494,                 1.3604,                 1.0155,                0.97125,               0.006634,               0.006634,               0.006634
                     70,                 1.4037,                 1.0424,                0.95365,                0.39653,                0.31765,                0.31634,                0.18394,                  1.362,                 1.0178,                0.97037,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.3995,                 1.0369,                0.95645,                0.38518,                0.32581,                0.31596,                0.18616,                 1.3587,                 1.0135,                0.97048,               0.006535,               0.006535,               0.006535
                     72,                 1.4021,                 1.0348,                0.95349,                0.39402,                0.32515,                0.31381,                0.18419,                 1.3611,                 1.0127,                0.97001,              0.0064855,              0.0064855,              0.0064855
                     73,                  1.404,                 1.0353,                0.95543,                0.41189,                0.31731,                0.31502,                 0.1842,                 1.3581,                 1.0146,                0.96943,               0.006436,               0.006436,               0.006436
                     74,                 1.3966,                 1.0301,                0.95395,                0.39863,                 0.3254,                0.31845,                0.18734,                 1.3579,                 1.0107,                0.96996,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.3955,                 1.0345,                0.95385,                0.39361,                0.32181,                0.31507,                0.18603,                 1.3565,                 1.0092,                0.96962,               0.006337,               0.006337,               0.006337
                     76,                 1.4011,                 1.0358,                0.95298,                 0.4172,                0.31047,                0.31367,                0.18577,                 1.3539,                 1.0092,                0.96851,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.3922,                 1.0201,                0.95359,                0.39557,                0.31737,                 0.3157,                0.18553,                 1.3571,                 1.0062,                0.96954,               0.006238,               0.006238,               0.006238
                     78,                 1.3985,                 1.0285,                0.95342,                0.40389,                0.32755,                0.32106,                0.18835,                 1.3565,                 1.0048,                0.96982,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.3929,                 1.0217,                0.95294,                0.39034,                0.33393,                0.32136,                0.18853,                 1.3557,                 1.0052,                0.96886,               0.006139,               0.006139,               0.006139
                     80,                 1.3928,                 1.0233,                0.95153,                0.39724,                0.33761,                0.32119,                0.18788,                 1.3547,                 1.0058,                0.96823,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.3967,                 1.0233,                 0.9533,                0.40657,                0.33451,                0.32211,                0.18921,                 1.3523,                 1.0005,                0.96769,                0.00604,                0.00604,                0.00604
                     82,                 1.3902,                 1.0221,                0.95098,                0.40746,                 0.3274,                0.32051,                0.18833,                  1.351,                 1.0009,                0.96743,              0.0059905,              0.0059905,              0.0059905
