                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2801,                 4.2447,                 3.3275,                0.59969,                0.01874,                0.01209,                0.00394,                 3.2931,                 3.1652,                 2.2445,              0.0033251,              0.0033251,              0.0033251
                      2,                 2.8691,                 2.6479,                  1.797,                 0.0427,                0.12635,                 0.0556,                0.02332,                 2.4574,                 2.1941,                 1.6073,              0.0066452,              0.0066452,              0.0066452
                      3,                 2.3996,                 2.2382,                 1.4936,                0.35413,                0.11712,                0.07195,                0.03434,                 2.2032,                 2.0895,                 1.4244,              0.0099522,              0.0099522,              0.0099522
                      4,                 2.1691,                 2.0072,                 1.3563,                0.35838,                0.14657,                0.09647,                0.04912,                 1.9839,                 1.7794,                 1.3438,              0.0099406,              0.0099406,              0.0099406
                      5,                 2.0401,                  1.855,                 1.2946,                0.40499,                0.14683,                0.11097,                0.05588,                 1.9561,                 1.5996,                 1.2999,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.9399,                 1.7463,                 1.2525,                0.34139,                0.16265,                0.12033,                0.06373,                 1.8346,                 1.5606,                 1.2543,               0.009901,               0.009901,               0.009901
                      7,                 1.8752,                  1.663,                 1.2246,                0.36153,                0.16962,                0.14031,                0.07304,                 1.7724,                 1.5318,                 1.2335,              0.0098812,              0.0098812,              0.0098812
                      8,                  1.839,                 1.6201,                 1.2095,                 0.3764,                0.17188,                0.13767,                0.07475,                 1.7462,                  1.472,                 1.2075,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.7947,                 1.5571,                 1.1943,                0.30412,                0.17976,                0.15428,                 0.0835,                 1.7009,                  1.421,                 1.1998,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.7714,                 1.5238,                 1.1787,                0.22552,                0.18013,                 0.1525,                0.08347,                 1.6859,                 1.3909,                 1.1845,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.7386,                 1.4812,                  1.164,                0.38715,                0.19192,                0.16638,                0.09087,                  1.654,                 1.3677,                 1.1816,               0.009802,               0.009802,               0.009802
                     12,                 1.7302,                 1.4707,                 1.1602,                0.32363,                0.18741,                0.17122,                0.09456,                 1.6276,                  1.322,                 1.1628,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.7057,                 1.4389,                  1.151,                0.33529,                0.20598,                0.17418,                 0.0966,                 1.6119,                 1.3145,                 1.1535,              0.0097624,              0.0097624,              0.0097624
